"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.181991353E0	1.728198305E-2	2.163746953E-2	6.896972656E-2	7.432139805E-2
2.191991353E0	2.149488777E-2	4.955649376E-3	6.716728210E-3	2.305868814E-2
2.201991353E0	8.634064347E-3	-1.663362980E-2	1.389598846E-2	2.333073515E-2
2.211992186E0	-1.622924209E-2	-4.021376371E-2	9.049892426E-2	1.003523312E-1
2.221992186E0	-1.398502290E-2	-2.539542317E-2	9.527873993E-2	9.959190061E-2
2.231992386E0	-6.675038487E-3	-3.117918968E-3	6.893062592E-2	6.932321939E-2
2.241992386E0	-1.593246311E-2	1.207655668E-2	4.976463318E-2	5.363026494E-2
2.251992386E0	-1.788947359E-2	1.737998426E-2	9.764194489E-2	1.007772123E-1
2.261992386E0	-2.700137347E-2	1.977251470E-2	1.048259735E-1	1.100386806E-1
2.271992586E0	-2.287652344E-3	2.884417772E-3	5.694770813E-2	5.706658112E-2
2.281992386E0	3.365075216E-2	-9.051218629E-3	4.018878937E-2	5.319244749E-2
2.291992386E0	1.200743392E-2	-1.896351576E-3	5.694770813E-2	5.823071423E-2
2.301992386E0	9.516417980E-3	2.201764286E-2	9.286117554E-2	9.590900234E-2
2.311992386E0	-2.446165308E-2	4.820942879E-3	7.371234894E-2	7.781467951E-2
2.321992386E0	4.583247006E-3	9.131804109E-3	7.372188568E-2	7.442655727E-2
2.331992186E0	-2.634722739E-3	-2.857357264E-3	7.132720947E-2	7.143302503E-2
2.341992186E0	-2.753250301E-4	-1.245225966E-2	8.569240570E-2	8.659285750E-2
2.351992186E0	-1.427780464E-2	-4.904314876E-3	6.892967224E-2	7.056350137E-2
2.361992186E0	7.344927639E-3	-1.422613859E-4	5.217075348E-2	5.268544124E-2
2.371992386E0	1.203392819E-2	4.661470652E-3	8.090019226E-2	8.192304831E-2
2.381992386E0	-4.763569683E-3	2.140183747E-2	6.174755096E-2	6.552473039E-2
2.391992386E0	-9.574972093E-3	2.819746733E-2	8.569622040E-2	9.072276145E-2
2.401992386E0	9.483534843E-3	1.141040027E-2	5.457115173E-2	5.655214646E-2
2.411992386E0	7.051236928E-3	1.990839839E-3	4.738521576E-2	4.794832696E-2
2.421992186E0	-1.706811041E-2	-9.592622519E-4	7.133674622E-2	7.335647168E-2
2.431991752E0	-7.517747581E-3	-5.651175976E-3	5.936431885E-2	6.010469758E-2
2.441991752E0	-3.254562616E-4	1.592336595E-2	4.260349274E-2	4.548315181E-2
2.451991752E0	1.425044984E-2	1.543581486E-2	7.613182068E-2	7.897717278E-2
2.461991752E0	-1.700965315E-2	1.463593543E-2	9.051036835E-2	9.325055327E-2
2.471991752E0	1.336261630E-5	9.166985750E-3	5.221652985E-2	5.301509026E-2
2.481991952E0	2.254508436E-4	-8.343771100E-3	6.659698486E-2	6.711801351E-2
2.491991952E0	-6.785631180E-3	-1.829525828E-2	5.942153931E-2	6.254342971E-2
2.501991952E0	-8.729588240E-3	5.925282836E-3	3.787040710E-2	3.931262420E-2
2.511991118E0	-1.585021615E-3	2.270969748E-2	5.462932587E-2	5.918281759E-2
2.521991118E0	5.557775497E-3	3.231097758E-2	5.702304840E-2	6.577625855E-2
2.531990918E0	8.010067046E-3	4.666298628E-4	9.294891357E-2	9.329458426E-2
2.541990918E0	7.597431540E-4	-2.386327088E-2	5.704212189E-2	6.183717794E-2
2.551990918E0	-2.323122695E-2	-2.138310671E-2	6.901264191E-2	7.589250227E-2
2.561990918E0	1.067261025E-2	5.264744163E-3	7.858562469E-2	7.948158623E-2
2.571990718E0	9.863972664E-4	-1.381242275E-2	6.182289124E-2	6.335476211E-2
2.581990718E0	-1.573991030E-2	7.708847523E-3	5.943012238E-2	6.196055642E-2
2.591990718E0	-1.537826657E-2	1.046794653E-2	4.984951019E-2	5.320754320E-2
2.601990718E0	3.853507340E-3	-6.316870451E-3	7.857990265E-2	7.892752037E-2
2.611990718E0	-2.858273685E-3	-2.287593484E-2	5.463695526E-2	5.930155987E-2
2.621990918E0	2.184167504E-3	-8.862316608E-4	6.181240082E-2	6.185732688E-2
2.631990918E0	-2.660561353E-3	6.268069148E-3	7.138919830E-2	7.171321295E-2
2.641990918E0	6.948623806E-3	4.023194313E-3	5.941677094E-2	5.995683559E-2
2.651990918E0	2.175521106E-3	1.725509763E-3	6.180858612E-2	6.187092689E-2
2.661990918E0	-2.609938383E-4	4.031494260E-3	4.505062103E-2	4.523139970E-2
2.671990718E0	-7.468871772E-3	-1.502545178E-2	6.180858612E-2	6.404568342E-2
2.681990718E0	-2.733536065E-3	-1.740290225E-2	7.617282867E-2	7.818332977E-2
2.691990718E0	-7.398732007E-3	1.677608490E-2	5.700778961E-2	5.988377356E-2
2.701990718E0	-1.224059984E-2	9.698137641E-3	6.897735596E-2	7.072313478E-2
2.711990718E0	4.428226501E-3	9.784057736E-3	6.897544861E-2	6.980651464E-2
2.721990718E0	-2.828910947E-4	7.408156991E-3	6.658172607E-2	6.699318670E-2
2.731991351E0	2.205137163E-3	-1.415662467E-2	4.742813110E-2	4.954493185E-2
2.741991351E0	-1.258030534E-4	-4.545316100E-3	6.418800354E-2	6.434885798E-2
2.751991551E0	-5.001310259E-3	9.842708707E-3	4.263877869E-2	4.404494826E-2
2.761991551E0	4.525363445E-3	-2.086758614E-3	4.263782501E-2	4.292805141E-2
2.771991551E0	1.886051148E-2	2.706050873E-4	6.897449493E-2	7.150715399E-2
2.781991351E0	-9.916350245E-3	1.228429377E-2	4.503250122E-2	4.771964000E-2
2.791991351E0	-1.714200154E-2	1.237198710E-2	4.981899261E-2	5.411881657E-2
2.801991351E0	-1.445793733E-2	-4.812136292E-3	6.898117065E-2	7.064411166E-2
2.811991351E0	-4.412882030E-3	4.675969481E-3	6.180191040E-2	6.213545162E-2
2.821991351E0	4.028454423E-4	-2.470761538E-3	8.095550537E-2	8.099420224E-2
2.831991351E0	-6.295464933E-3	6.893679500E-3	5.941486359E-2	6.014384184E-2
2.841991351E0	-3.445826471E-3	-2.931892872E-3	5.942058563E-2	5.959258102E-2
2.851991351E0	1.099598035E-2	1.140743494E-2	7.378768921E-2	7.546962458E-2
2.861991351E0	-3.278207034E-3	-5.372315645E-4	6.660366058E-2	6.668645186E-2
2.871991584E0	-1.503854617E-2	1.393318176E-3	4.985427856E-2	5.209172965E-2
2.881991584E0	-3.097545356E-3	-1.081660390E-3	7.619094849E-2	7.626155917E-2
2.891991584E0	8.888598531E-3	8.459389210E-3	9.295177460E-2	9.375820418E-2
2.901991584E0	-6.651580334E-4	6.099909544E-3	6.661510468E-2	6.689711132E-2
2.911991584E0	6.602831185E-3	1.400157809E-3	5.943107605E-2	5.981313085E-2
2.921991384E0	-3.194022924E-3	-1.343291998E-2	4.986190796E-2	5.173833189E-2
2.931991384E0	1.618422568E-3	-2.058045566E-2	5.704307556E-2	6.066371993E-2
2.941991384E0	-5.590897053E-3	8.874088526E-4	7.140922546E-2	7.163325419E-2
2.951991384E0	-2.005479857E-2	-1.491248608E-3	8.816909790E-2	9.043344842E-2
2.961991384E0	-5.341731012E-4	-1.101121306E-3	6.901073456E-2	6.902158571E-2
2.971991384E0	9.394828230E-3	6.463572383E-3	6.182289124E-2	6.286581302E-2
2.981991450E0	2.235852182E-3	1.128675044E-2	7.858181000E-2	7.941971187E-2
2.991991450E0	7.039397955E-3	-7.200092077E-4	4.985141754E-2	5.035112082E-2
3.001991450E0	-9.819407016E-3	4.171878099E-3	5.942630768E-2	6.037641398E-2
3.011991450E0	-5.063891411E-3	-1.244896650E-2	4.745197296E-2	4.931844991E-2
3.021991450E0	-3.134459257E-4	4.291340709E-3	4.984760284E-2	5.003296276E-2
3.031991250E0	4.419811070E-3	-7.707685232E-3	6.181812286E-2	6.245337025E-2
